#####################################################################
# Alchemist log file - simulation started at: 2024-05-30T13:51+0000 #
#####################################################################
#
# seed = 25.0, leaderInitialResource = 1000, resourceUpperBound = 10, resourceLowerBound = 10, spawningRatio = 500, maxChildren = 5, gaussianShape = 5, initialNodes = 1, resourceRadius = 6.0
#
# The columns have the following meaning: 
# simulation_time nodes limited_size full_size 
1512.2459822523015 44.0 1905.0 68529.0
1515.2459822523015 44.0 1905.0 68529.0
1518.2459822523015 44.0 1905.0 68529.0
1521.2459822523015 44.0 1905.0 68529.0
1524.2459822523015 44.0 1905.0 68529.0
1527.2459822523015 46.0 1994.0 71532.0
1530.2459822523015 45.0 1946.0 70070.0
1533.2459822523015 45.0 1946.0 70104.0
1536.2459822523015 44.0 1905.0 68585.0
1539.2459822523015 44.0 1905.0 68565.0
1542.2459822523015 44.0 1905.0 68567.0
1545.2459822523015 44.0 1905.0 68529.0
1548.2459822523015 44.0 1905.0 68529.0
1551.2459822523015 44.0 1905.0 68529.0
1554.2459822523015 44.0 1905.0 68529.0
1557.2459822523015 44.0 1905.0 68529.0
1560.2459822523015 45.0 1949.0 70028.0
1563.2459822523015 46.0 1989.0 71532.0
1566.2459822523015 46.0 1989.0 71641.0
1569.2459822523015 44.0 1905.0 68564.0
1572.2459822523015 44.0 1905.0 68563.0
1575.2459822523015 44.0 1905.0 68556.0
1578.2459822523015 44.0 1905.0 68529.0
1581.2459822523015 44.0 1905.0 68529.0
1584.2459822523015 44.0 1905.0 68529.0
1587.2459822523015 44.0 1905.0 68529.0
1590.2459822523015 44.0 1905.0 68529.0
1593.2459822523015 46.0 1992.0 71535.0
1596.2459822523015 46.0 1991.0 71575.0
1599.2459822523015 45.0 1947.0 70120.0
1602.2459822523015 44.0 1905.0 68599.0
1605.2459822523015 44.0 1905.0 68566.0
1608.2459822523015 44.0 1905.0 68556.0
1611.2459822523015 44.0 1905.0 68529.0
1614.2459822523015 44.0 1905.0 68529.0
1617.2459822523015 44.0 1905.0 68529.0
1620.2459822523015 44.0 1905.0 68529.0
1623.2459822523015 44.0 1905.0 68529.0
1626.2459822523015 46.0 1992.0 71528.0
1629.2459822523015 45.0 1947.0 70067.0
1632.2459822523015 45.0 1947.0 70118.0
1635.2459822523015 45.0 1947.0 70125.0
1638.2459822523015 44.0 1905.0 68559.0
1641.2459822523015 44.0 1905.0 68570.0
1644.2459822523015 44.0 1905.0 68538.0
1647.2459822523015 44.0 1905.0 68529.0
1650.2459822523015 44.0 1905.0 68529.0
1653.2459822523015 44.0 1905.0 68529.0
1656.2459822523015 44.0 1905.0 68529.0
1659.2459822523015 44.0 1905.0 68527.0
1662.2459822523015 46.0 1990.0 71580.0
1665.2459822523015 45.0 1947.0 70102.0
1668.2459822523015 45.0 1947.0 70106.0
1671.2459822523015 44.0 1905.0 68577.0
1674.2459822523015 44.0 1905.0 68572.0
1677.2459822523015 44.0 1905.0 68556.0
